LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNCIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
NYC,1149 BLAKE AVENUE CORP,1149 BLAKE AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"1149 BLAKE AVENUE
BROOKLYN, NY 11208
(40.67074919800007, -73.87513319799996)"
NYC,MY DISCOUNT GROCERY AND CAFE INC,1795 BROADWAY,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1795 BROADWAY
BROOKLYN, NY 11207
(40.68202507400008, -73.90887568899996)"
NYC,FOOD TRAIN INC,368 7TH  AVENUE,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"368 7TH AVENUE
BROOKLYN, NY 11215
(40.66581133500006, -73.98253508899995)"
NYC,ALYAMANI  GROCERY INC,114 WYCKOFF AVENUE,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"114 WYCKOFF AVENUE
BROOKLYN, NY 11237
(40.70375528500006, -73.91840625799995)"
NYC,MEGA AIDE PHARMACY I INC,1013 BROADWAY,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,PHARMACY,05/09/2016,"1013 BROADWAY
BROOKLYN, NY 11221
(40.69570610900007, -73.93291598799993)"
NYC,730 LYDIG CONVENIENCE INC,730 LYDIG AVENUE,BRONX,NY,10462,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"730 LYDIG AVENUE
BRONX, NY 10462
(40.85445296700004, -73.86648173099996)"
NYC,AVENUE A DELI & FOOD INC,24 AVENUE A,NEW YORK,NY,10009,NEW YORK CITY,NEW YORK CITY,DELICATESSEN,05/09/2016,"24 AVENUE A
NEW YORK, NY 10009
(40.72306118500006, -73.98566454699994)"
NYC,ABDO A A SALEH,7924 CYPRESS AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"7924 CYPRESS AVENUE
RIDGEWOOD, NY 11385
(40.69424686100007, -73.89758050199998)"
NYC,LAST STOP CONVENIENCE CORP,4973 BROADWAY,MANHATTAN,NY,10034,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"4973 BROADWAY
MANHATTAN, NY 10034
(40.86818227800006, -73.91957960199994)"
NYC,HEAVENS DELI & GROCERY CORP,6070 WOODHAVEN BOULEVARD,ELMHURST,NY,11373,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"6070 WOODHAVEN BOULEVARD
ELMHURST, NY 11373
(40.73018725900005, -73.87169632899997)"
NYC,NASSR A. GABR & FAWAZ N. GABR,2218 PITKIN  AVENUE,"BROOKLYN, NY",NY,11207,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"2218 PITKIN AVENUE
BROOKLYN, NY, NY 11207
(40.67263320300003, -73.89065606599996)"
NYC,WHITE MOUNTAIN FARM INC.,8406 20TH  AVENUE,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"8406 20TH AVENUE
BROOKLYN, NY 11214
(40.60566280100005, -73.99718118599998)"
NYC,SHINING STAR DELI GROCERY CORP,3489A BOSTON ROAD,BRONX,NY,10469,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"3489A BOSTON ROAD
BRONX, NY 10469
(40.87690259400006, -73.84687159099997)"
NYC,ALWAHHIB GOLD STAR DELI INC,1308 PROSPECT PLACE,BROOKLYN,NY,11213,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"1308 PROSPECT PLACE
BROOKLYN, NY 11213
(40.67336282800005, -73.93320154299994)"
NYC,SHAHANA DELI & GROCERY INC,345 VICTORY  BOULEVARD,STATEN ISLAND,NY,10301,STATEN ISLAND,NEW YORK CITY,DELICATESSEN,05/09/2016,"345 VICTORY BOULEVARD
STATEN ISLAND, NY 10301
(40.63376032300005, -74.08595522699994)"
NYC,GREENE FOOD CORP I,397 CLASSON  AVENUE,BROOKLYN,NY,11238,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"397 CLASSON AVENUE
BROOKLYN, NY 11238
(40.687307273000044, -73.95965566199999)"
NYC,1416 FAR ROCKAWAY DELI INC,1416 CORNAGA AVENUE,FAR ROCKAWAY,NY,11691,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"1416 CORNAGA AVENUE
FAR ROCKAWAY, NY 11691
(40.60277306200004, -73.74903060699995)"
NYC,KRISTAL DELI GROCERY NY CORP,1565 FULTON STREET,BROOKLYN,NY,11216,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"1565 FULTON STREET
BROOKLYN, NY 11216
(40.679808423000054, -73.93868419499995)"
NYC,TITAHS DELI GROCERY CORP,106-13 NORTHERN  BOULEVARD,CORONA,NY,11368,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"106-13 NORTHERN BOULEVARD
CORONA, NY 11368
(40.75780239800008, -73.86231540599994)"
NYC,MARIA DELI & GROCERY INC,13201 LIBERTY AVENUE,S RICHMOND HILL,NY,11419,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"13201 LIBERTY AVENUE
S RICHMOND HILL, NY 11419
(40.69067450000006, -73.81399774799996)"
NYC,OJ DELI GROCERY INC,230 EAST 174TH  STREET,BRONX,NY,10457,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"230 EAST 174TH STREET
BRONX, NY 10457
(40.844703278000054, -73.90742226899994)"
NYC,SHREEHARI CONVENIENCE INC,3761 82ND  STREET,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"3761 82ND STREET
JACKSON HEIGHTS, NY 11372
(40.74823193200007, -73.88400089599998)"
NYC,"NASSER, ZAID N / DAR GAMIL MINI MART",8995 217TH STREET,QUEENS VILLAGE,NY,11427,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"8995 217TH STREET
QUEENS VILLAGE, NY 11427
(40.725223251000045, -73.74462984299998)"
NYC,RALPH AVE DELI CORP,444 RALPH  AVENUE,BROOKLYN,NY,11223,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"444 RALPH AVENUE
BROOKLYN, NY 11223
(40.67402374100004, -73.92213584599995)"
NYC,HUDSON GROUP (HG) RETAIL LLC,625 8TH AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,STAND,05/09/2016,"625 8TH AVENUE
NEW YORK, NY 10018
(40.75617171600004, -73.99060088399995)"
NYC,18TH AVENUE SMOKE SHOP DISCOUNT LTD,8120 18TH  AVENUE,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"8120 18TH AVENUE
BROOKLYN, NY 11214
(40.60960230500007, -73.99987240299998)"
NYC,DKH MINI MART INC,130 NASSAU AVENUE,BROOKLYN,NY,11222,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"130 NASSAU AVENUE
BROOKLYN, NY 11222
(40.72454374400007, -73.94836163999997)"
NYC,AVE N MINIMART INC,5803 AVENUE N,BROOKLYN,NY,11234,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"5803 AVENUE N
BROOKLYN, NY 11234
(40.61945805900007, -73.91899252199994)"
NYC,ONESIMO S HEREDIA,108 VAN SICLEN AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"108 VAN SICLEN AVENUE
BROOKLYN, NY 11207
(40.67771143400006, -73.89161529999996)"
NYC,"GNP89, INC",9102 104TH STREET,RICHMOND HILL,NY,11418,QUEENS,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"9102 104TH STREET
RICHMOND HILL, NY 11418
(40.69217570700005, -73.84201135099994)"
NYC,1606 DELI AND GROCERY INC,1606 NOSTRAND AVENUE,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"1606 NOSTRAND AVENUE
BROOKLYN, NY 11226
(40.64700661400008, -73.94919616299995)"
NYC,PATAL ASIA DELI GROCERY LLC,135 EAST 28TH STREET,NEW YORK,NY,10016,MANHATTAN,NEW YORK CITY,DELICATESSEN,05/09/2016,"135 EAST 28TH STREET
NEW YORK, NY 10016
(40.74257927700006, -73.98221661599996)"
NYC,EL PINO DELI GROCERY INC,338 CENTRAL AVENUE,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"338 CENTRAL AVENUE
BROOKLYN, NY 11221
(40.69521541900008, -73.92015455899997)"
NYC,NY NEIGHBOR FOOD CENTER CORP.,2233 PITKIN AVENUE,"BROOKLYN, NEW YORK",NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2233 PITKIN AVENUE
BROOKLYN, NEW YORK, NY 11207
(40.67279754400005, -73.88992411099997)"
NYC,DIONISOS DELI GROCERY INC,28-05 24TH  AVENUE,ASTORIA,NY,11102,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"28-05 24TH AVENUE
ASTORIA, NY 11102
(40.77334464100005, -73.91685376699996)"
NYC,BERITO'S DELI & GROCERY CORP,180 BAY 32ND STREET,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"180 BAY 32ND STREET
BROOKLYN, NY 11214
(40.59741315400004, -73.99611239199999)"
NYC,JUNCTION STATION INC,3525 JUNCTION BOULEVARD,CORONA,NY,11368,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"3525 JUNCTION BOULEVARD
CORONA, NY 11368
(40.752915432000066, -73.87150357799999)"
NYC,EL MENEO GROCERY CORP,21021 HOLLIS AVENUE,QUEENS,NY,11429,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"21021 HOLLIS AVENUE
QUEENS, NY 11429
(40.70907594600004, -73.74699354499995)"
NYC,752 TOBACCO CANDY INC,752 9TH AVENUE,NEW YORK,NY,10019,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"752 9TH AVENUE
NEW YORK, NY 10019
(40.76388167300007, -73.98862500299998)"
NYC,LATIENDA DELI CORP,5314 108TH STREET,CORONA,NY,11368,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"5314 108TH STREET
CORONA, NY 11368
(40.74230531300003, -73.85446041599994)"
NYC,VILLA TAPIA GROCERY NY CORP,128 NOSTRAND AVENUE,BROOKLYN,NY,11205,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"128 NOSTRAND AVENUE
BROOKLYN, NY 11205
(40.69583431800004, -73.95269625999998)"
NYC,ROCKAWAY EXPRESS DELI & GROCERY INC,1938 ROCKAWAY (STORE A) PARKWAY,BROOKLYN,NY,11236,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"1938 ROCKAWAY (STORE A) PARKWAY
BROOKLYN, NY 11236
(40.63528745900004, -73.89138693699994)"
NYC,SPACE NY 62 CORP,1130 FIRST AVENUE,NEW YORK,NY,10065,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"1130 FIRST AVENUE
NEW YORK, NY 10065
(40.76157158500007, -73.96050417099997)"
NYC,"51ST STREET FOOD MARKET, INC",721 11TH AVENUE,NEW YORK,NY,10019,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"721 11TH AVENUE
NEW YORK, NY 10019
(40.76662883600005, -73.99411699799998)"
NYC,DEEGAN AUTOMOTIVE SERVICES CORP.,3031 BAILEY AVENUE,BRONX,NY,10463,BRONX,NEW YORK CITY,GAS STATION,05/09/2016,"3031 BAILEY AVENUE
BRONX, NY 10463
(40.87715173700008, -73.90320420199998)"
NYC,SOUTHEND NEWS INC,395 SOUTH END  AVENUE,NEW YORK,NY,10280,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"395 SOUTH END AVENUE
NEW YORK, NY 10280
(40.71143621400006, -74.01589092299997)"
NYC,GINA USA DELI AND GROCERY INC,6084 FRESH POND  ROAD,MASPETH,NY,11378,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"6084 FRESH POND ROAD
MASPETH, NY 11378
(40.71466118400008, -73.90120414599994)"
NYC,572 EIGHTH AVE.MARKET CORP,572 8TH AVENUE,NEW YORK,NY,10018,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"572 8TH AVENUE
NEW YORK, NY 10018
(40.754809016000024, -73.99151655599997)"
NYC,SAMMY QUICK STOP DELI & GROCERY INC.,103-02 LIBERTY AVENUE,OZONE PARK,NY,11417,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"103-02 LIBERTY AVENUE
OZONE PARK, NY 11417
(40.681643945000076, -73.83770004099995)"
NYC,107 GUY CANDY GROCERY INC,10743 GUY R BREWER BOULEVARD,JAMAICA,NY,11433,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"10743 GUY R BREWER BOULEVARD
JAMAICA, NY 11433
(40.697069784000064, -73.79157404399996)"
NYC,GANSEVOORT MARKET COFFEE SHOP INC,44 WEST 12TH STREET,NEW YORK,NY,10014,MANHATTAN,NEW YORK CITY,RESTAURANT/ATUPA,05/09/2016,"44 WEST 12TH STREET
NEW YORK, NY 10014
(40.735248383000055, -73.99602616299995)"
NYC,LA JAVILLA FOOD CORP,170 WEST TREMONT  AVENUE,BRONX,NY,10453,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"170 WEST TREMONT AVENUE
BRONX, NY 10453
(40.85080135000004, -73.91582576699994)"
NYC,PARSAUD FOODS INC,123-19 LIBERTY  AVENUE,SOUTH RICHMOND HILL,NY,11419,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"123-19 LIBERTY AVENUE
SOUTH RICHMOND HILL, NY 11419
(40.687687237000034, -73.82050142599996)"
NYC,THREE STAR CANDY STORE,1673 METROPOLITAN AVENUE,BRONX,NY,10462,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"1673 METROPOLITAN AVENUE
BRONX, NY 10462
(40.840635845000065, -73.85489971099997)"
NYC,YONG LE 99 CENTS STORE INC,4602 KISSENA BOULEVARD,FLUSHING,NY,11355,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"4602 KISSENA BOULEVARD
FLUSHING, NY 11355
(40.75051598600004, -73.81904436399998)"
NYC,WEST FARM FRUIT MARKET CORP,1001 EAST 167TH  STREET,BRONX,NY,10459,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1001 EAST 167TH STREET
BRONX, NY 10459
(40.82679834900006, -73.88968983799998)"
NYC,DESI BAZAAR NEW YORK INCORPORATED,126-10 101ST AVENUE,RICHMOND HILL,NY,11419,QUEENS,NEW YORK CITY,TOBACCO RETAIL,05/09/2016,"126-10 101ST AVENUE
RICHMOND HILL, NY 11419
(40.69174329400005, -73.81958298499995)"
NYC,BRONX FINEST DELI AND CONVENIENCE STORE INC,772 EAST 161ST STREET,BRONX,NY,10456,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"772 EAST 161ST STREET
BRONX, NY 10456
(40.821143179000046, -73.90403639299996)"
NYC,GET & GO HOT BAGELS CORP,1060 RICHMOND ROAD,STATEN ISLAND,NY,10304,STATEN ISLAND,NEW YORK CITY,RESTAURANT/ATUPA,05/09/2016,"1060 RICHMOND ROAD
STATEN ISLAND, NY 10304
(40.600838657000054, -74.09262441099997)"
NYC,HANNA DELI & GROCERY CORP.,2570 86TH  STREET,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"2570 86TH STREET
BROOKLYN, NY 11214
(40.59685602900004, -73.98547573099995)"
NYC,NORDOMI DELI CORP #3,212 RALPH AVENUE,BROOKLYN,NY,11233,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"212 RALPH AVENUE
BROOKLYN, NY 11233
(40.68246448000008, -73.92267560799996)"
NYC,2829 PALACE FOOD INC,2829 8TH AVENUE,NEW YORK,NY,10039,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"2829 8TH AVENUE
NEW YORK, NY 10039
(40.82660020800006, -73.93921569699995)"
NYC,DE REIMER FOOD CORP,3821 BOSTON ROAD,BRONX,NY,10466,BRONX,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"3821 BOSTON ROAD
BRONX, NY 10466
(40.881566778000035, -73.83802056299999)"
NYC,SHELL NORTHERN CONVENIENCE STORE LLC,71-08 NORTHERN BOULEVARD,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"71-08 NORTHERN BOULEVARD
JACKSON HEIGHTS, NY 11372
(40.75451311300003, -73.89509791499995)"
NYC,ASSARY GROCERY CORP,343 SAINT NICHOLAS  AVENUE,NEW YORK,NY,10027,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"343 SAINT NICHOLAS AVENUE
NEW YORK, NY 10027
(40.81217206600007, -73.95138270399997)"
NYC,RY DELI MEAT MARKET INC.,3945 CARPENTER  AVENUE,BRONX,NY,10466,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"3945 CARPENTER AVENUE
BRONX, NY 10466
(40.88794691000004, -73.86379983799998)"
NYC,L I P DELI CORP,112 MOFFAT  STREET,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"112 MOFFAT STREET
BROOKLYN, NY 11207
(40.68586900400004, -73.90799920799998)"
NYC,CRISDAN GROCERY CORP,18419 140TH  AVENUE,SPRINGFIELD GARDENS,NY,11413,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"18419 140TH AVENUE
SPRINGFIELD GARDENS, NY 11413
(40.67243739400004, -73.75971534599995)"
NYC,DESAI CONVENIENCE LLC,3945 43 AVENUE,SUNNYSIDE,NY,11104,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"3945 43 AVENUE
SUNNYSIDE, NY 11104
(40.74564896900006, -73.92454343899993)"
NYC,A & R DELI & GROCERY CORP,5124 FORT HAMILTON  PARKWAY,BROOKLYN,NY,11219,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"5124 FORT HAMILTON PARKWAY
BROOKLYN, NY 11219
(40.637005169000076, -73.99972671199998)"
NYC,OTTO'S DELI LLC,63-18 WOODHAVEN BOULEVARD,REGO PARK,NY,11374,QUEENS,NEW YORK CITY,DELICATESSEN,05/09/2016,"63-18 WOODHAVEN BOULEVARD
REGO PARK, NY 11374
(40.72389920400008, -73.86900394599996)"
NYC,MANDELA DELI GROCERY CORP,4049 WHITE PLAINS ROAD,BRONX,NY,10466,BRONX,NEW YORK CITY,DELICATESSEN,05/09/2016,"4049 WHITE PLAINS ROAD
BRONX, NY 10466
(40.889846730000045, -73.85938013399993)"
NYC,ODGEN GAS INC,1165 ODGEN AVENUE,BRONX,NY,10452,BRONX,NEW YORK CITY,GAS STATION,05/09/2016,"1165 ODGEN AVENUE
BRONX, NY 10452
(40.836694762000036, -73.92137212699998)"
NYC,M & K 99¢ PLUS CORP,760 SENECA AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"760 SENECA AVENUE
RIDGEWOOD, NY 11385
(40.70217501800005, -73.90667646799994)"
NYC,UTICA DELI GROCERY CORP,939 UTICA AVENUE,BROOKLYN,NY,11203,BROOKLYN,NEW YORK CITY,DELICATESSEN,05/09/2016,"939 UTICA AVENUE
BROOKLYN, NY 11203
(40.64995424800003, -73.93015483799996)"
NYC,BUENO EAST MART INC,36 AVENUE A,NEW YORK,NY,10009,NEW YORK CITY,NEW YORK CITY,CONVENIENCE STORE,05/09/2016,"36 AVENUE A
NEW YORK, NY 10009
(40.72347145300006, -73.98538365399997)"
NYC,METRO DELI GROCERY CORP I,1113 RUTLAND ROAD,BROOKLYN,NY,11212,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,05/09/2016,"1113 RUTLAND ROAD
BROOKLYN, NY 11212
(40.66488590100005, -73.92304624799993)"
